name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	5	4	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Azospirillum lipoferum	193	species	7223069	1	1	0.0
Campylobacter coli	195	species	5104439	15	2	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Helicobacter mustelae	217	species	1578097	3	0	7.75913e-48
Achromobacter	222	genus	0	3	0	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	2	1	0.0
Pseudomonas	286	genus	0	169	0	0.0
Pseudomonas aeruginosa	287	species	22457305	19	4	0.0
Pseudomonas fluorescens	294	species	14826544	5	2	0.0
Pseudomonas putida	303	species	6888188	4	2	0.0
Pseudomonas stutzeri	316	species	7755802	1	1	0.0
Pseudomonas syringae	317	species	6129101	1	1	0.0
Xanthomonas	338	genus	0	1	0	0.0
Rhizobiales	356	order	0	1	0	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Methylobacillus	404	genus	0	1	0	0.0
Methylomonas methanica	421	species	5051681	1	0	0.0
Legionella pneumophila	446	species	15688009	1	0	0.0
Legionella hackeliae	449	species	3570857	1	0	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Moraxellaceae	468	family	0	57	0	0.0
Acinetobacter	469	genus	0	64	0	0.0
Acinetobacter baumannii	470	species	11595472	5	1	0.0
Moraxella catarrhalis	480	species	2846413	1	0	0.0
Neisseria	482	genus	0	1	0	0.0
Neisseria lactamica	486	species	2220606	1	1	0.0
Enterobacteriaceae	543	family	0	444	20	0.0
Citrobacter	544	genus	0	58	0	0.0
Citrobacter koseri	545	species	4735357	41	3	1.18438e-26
Citrobacter freundii	546	species	16193243	826	30	1.07894e-15
Enterobacter	547	genus	0	67	0	0.0
[Enterobacter] aerogenes	548	species	10750562	143	121	2.79392e-05
Pantoea agglomerans	549	species	9924054	2	0	0.0
Enterobacter cloacae	550	species	10083180	274	30	1.05972e-05
Erwinia	551	genus	0	2	0	0.0
Pantoea ananatis	553	species	4842757	5	3	0.0
Pectobacterium carotovorum	554	species	4852842	3	2	0.0
Escherichia	561	genus	0	83	0	0.0
Escherichia coli	562	species	12319210	493767	426861	0.798753
Shimwellia blattae	563	species	4158725	15	7	1.82068e-28
Escherichia fergusonii	564	species	4643861	7389	1904	0.00465878
Hafnia alvei	569	species	6928293	48	46	0.0
Klebsiella	570	genus	0	139	0	0.0
Klebsiella oxytoca	571	species	16779606	160	10	4.10828e-18
Klebsiella pneumoniae	573	species	15713353	1363	278	0.000198933
Morganella morganii	582	species	3853791	4	2	0.0
Proteus	583	genus	0	42	0	0.0
Proteus mirabilis	584	species	5337360	177	7	0.000113505
Proteus vulgaris	585	species	3794983	106	0	7.03998e-15
Providencia stuartii	588	species	6521015	3	2	0.0
Salmonella	590	genus	0	18	0	0.0
Serratia	613	genus	0	36	0	0.0
Serratia liquefaciens	614	species	7946985	1	0	0.0
Serratia marcescens	615	species	8465231	3	1	0.0
Shigella	620	genus	0	4843	0	0.0
Shigella boydii	621	species	4698475	23995	2982	0.0130756
Shigella dysenteriae	622	species	4560911	17896	4049	0.010908
Shigella flexneri	623	species	4763519	22242	3362	0.0156782
Shigella sonnei	624	species	6798914	26989	2284	0.00551174
Xenorhabdus nematophila	628	species	4586662	2	2	0.0
Yersinia	629	genus	0	1	0	0.0
Yersinia enterocolitica	630	species	14308813	6	3	9.31189e-46
Yersinia intermedia	631	species	4859749	7	2	0.0
Yersinia pestis	632	species	7124135	7	5	0.0
Edwardsiella	635	genus	0	154	0	0.0
Edwardsiella tarda	636	species	3717889	12	1	0.0
Vibrionaceae	641	family	0	7	0	0.0
Aeromonas	642	genus	0	51	0	0.0
Aeromonas hydrophila	644	species	7739252	6	3	0.0
Aeromonas salmonicida	645	species	5040536	1	0	0.0
Aeromonas media	651	species	4788430	1	1	0.0
Aeromonas schubertii	652	species	4400034	1	1	0.0
Aeromonas veronii	654	species	7214925	1	1	0.0
Vibrio	662	genus	0	67	0	0.0
Vibrio cholerae	666	species	6170861	6	1	0.0
